                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.79573,                 0.7845,                 1.0964,                0.86806,                      1,                0.91167,                0.47768,                 1.4748,                 1.1828,                 1.3491,             0.00045745,             0.00045745,             0.00045745
                     37,                0.59104,                0.60497,                 0.9077,                0.86375,                      1,                0.91167,                0.48467,                 1.4505,                 1.1358,                 1.3232,             0.00046339,             0.00046339,             0.00046339
                     38,                0.70802,                0.75881,                 0.9446,                0.86375,                      1,                0.91167,                0.48467,                 1.4505,                 1.1358,                 1.3232,             0.00046894,             0.00046894,             0.00046894
                     39,                0.65997,                0.62973,                0.92878,                0.65758,                0.96253,                0.88167,                0.49521,                 1.6236,                 1.2204,                 1.4286,             0.00047409,             0.00047409,             0.00047409
                     40,                0.59448,                0.59913,                0.90191,                0.65758,                0.96253,                0.88167,                0.49521,                 1.6236,                 1.2204,                 1.4286,             0.00047884,             0.00047884,             0.00047884
                     41,                0.66272,                0.61593,                0.96095,                0.87161,                 0.8513,                0.89428,                0.49595,                 1.6226,                 1.3455,                   1.42,              0.0004832,              0.0004832,              0.0004832
                     42,                0.68164,                 0.7483,                0.94315,                0.87161,                 0.8513,                0.89428,                0.49595,                 1.6226,                 1.3455,                   1.42,             0.00048716,             0.00048716,             0.00048716
                     43,                0.61566,                0.65671,                 0.9832,                      1,                0.74295,                0.78932,                0.49311,                 1.5122,                  1.397,                 1.3814,             0.00049073,             0.00049073,             0.00049073
                     44,                0.64025,                0.61109,                0.96061,                      1,                0.74295,                0.78932,                0.49311,                 1.5122,                  1.397,                 1.3814,              0.0004939,              0.0004939,              0.0004939
                     45,                0.73157,                0.71158,                 1.0371,                0.98555,                  0.625,                0.71223,                0.43677,                 1.4604,                 1.4369,                 1.3946,             0.00049667,             0.00049667,             0.00049667
                     46,                0.65176,                0.64285,                0.93589,                0.98555,                  0.625,                0.71223,                0.43677,                 1.4604,                 1.4369,                 1.3946,             0.00049905,             0.00049905,             0.00049905
                     47,                0.75499,                0.71674,                  1.055,                0.98178,                  0.625,                0.67963,                0.37624,                 1.4584,                 1.5284,                  1.387,             0.00050103,             0.00050103,             0.00050103
                     48,                0.65079,                0.73296,                0.92923,                0.98178,                  0.625,                0.67963,                0.37624,                 1.4584,                 1.5284,                  1.387,             0.00050262,             0.00050262,             0.00050262
                     49,                0.70326,                0.67354,                0.95705,                0.25863,                    0.5,                0.18174,                0.10463,                 1.4906,                 3.5271,                 1.3699,             0.00050381,             0.00050381,             0.00050381
                     50,                0.67805,                0.69208,                 1.0337,                0.25863,                    0.5,                0.18174,                0.10463,                 1.4906,                 3.5271,                 1.3699,              0.0005046,              0.0005046,              0.0005046
                     51,                0.63213,                0.60522,                0.86635,                0.35919,                  0.625,                0.27061,                0.15342,                 1.4912,                 2.7346,                 1.3611,               0.000505,               0.000505,               0.000505
                     52,                 0.5317,                0.64995,                0.88782,                0.35919,                  0.625,                0.27061,                0.15342,                 1.4912,                 2.7346,                 1.3611,               0.000505,               0.000505,               0.000505
                     53,                0.62114,                 0.6045,                0.99337,                0.35919,                  0.625,                0.27061,                0.15342,                 1.4912,                 2.7346,                 1.3611,             0.00050461,             0.00050461,             0.00050461
                     54,                0.63134,                0.63657,                 1.0129,                0.98308,                  0.625,                0.80003,                0.48136,                 1.4619,                  1.245,                 1.3588,             0.00050382,             0.00050382,             0.00050382
                     55,                0.72131,                   0.62,                 1.0369,                0.98308,                  0.625,                0.80003,                0.48136,                 1.4619,                  1.245,                 1.3588,             0.00050263,             0.00050263,             0.00050263
                     56,                0.60919,                0.56892,                0.89708,                0.98308,                  0.625,                0.80003,                0.48136,                 1.4619,                  1.245,                 1.3588,             0.00050105,             0.00050105,             0.00050105
